,X,time,value,
102,102,1999.917,11.53297,
103,103,2000.000,12.51146,
104,104,2000.083,7.45720,
105,105,2000.167,8.59119,
106,106,2000.250,8.47400,
107,107,2000.333,9.38680,
108,108,2000.417,9.56040,
109,109,2000.500,10.83429,
110,110,2000.583,10.64375,
111,111,2000.667,9.90816,
112,112,2000.750,11.71004,
113,113,2000.833,11.34015,
114,114,2000.917,12.07913,
115,115,2001.000,14.49758,
116,116,2001.083,8.04927,
117,117,2001.167,10.31289,
118,118,2001.250,9.75336,
119,119,2001.333,10.85038,
120,120,2001.417,9.96172,
121,121,2001.500,11.44360,
122,122,2001.583,11.65924,
123,123,2001.667,10.64706,
124,124,2001.750,12.65213,
125,125,2001.833,13.67447,
126,126,2001.917,12.96574,
127,127,2002.000,16.30027,
128,128,2002.083,9.05349,
129,129,2002.167,10.00245,
130,130,2002.250,10.78875,
131,131,2002.333,12.10671,
132,132,2002.417,10.95410,
133,133,2002.500,12.84457,
134,134,2002.583,12.19650,
135,135,2002.667,12.85475,
136,136,2002.750,13.54200,
137,137,2002.833,13.28764,
138,138,2002.917,15.13492,
139,139,2003.000,16.82835,
140,140,2003.083,9.80021,
141,141,2003.167,10.81699,
142,142,2003.250,10.65422,
143,143,2003.333,12.51232,
144,144,2003.417,12.16121,
145,145,2003.500,12.99805,
146,146,2003.583,12.51728,
147,147,2003.667,13.26866,
148,148,2003.750,14.73362,
149,149,2003.833,13.66938,
150,150,2003.917,16.50397,
151,151,2004.000,18.00377,
152,152,2004.083,11.93803,
153,153,2004.167,12.99790,
154,154,2004.250,12.88265,
155,155,2004.333,13.94345,
156,156,2004.417,13.98947,
157,157,2004.500,15.33910,
158,158,2004.583,15.37076,
159,159,2004.667,16.14201,
160,160,2004.750,16.68575,
161,161,2004.833,17.63673,
162,162,2004.917,18.86933,
163,163,2005.000,20.77872,
164,164,2005.083,12.15455,
165,165,2005.167,13.40239,
166,166,2005.250,14.45924,
167,167,2005.333,14.79510,
168,168,2005.417,15.70525,
169,169,2005.500,15.82955,
170,170,2005.583,17.55470,
171,171,2005.667,18.10086,
172,172,2005.750,17.49667,
173,173,2005.833,19.34727,
174,174,2005.917,20.03129,
175,175,2006.000,23.48669,
176,176,2006.083,12.53699,
177,177,2006.167,15.46702,
178,178,2006.250,14.23354,
179,179,2006.333,17.78306,
180,180,2006.417,16.29160,
181,181,2006.500,16.98028,
182,182,2006.583,18.61219,
183,183,2006.667,16.62334,
184,184,2006.750,21.43024,
185,185,2006.833,23.57552,
186,186,2006.917,23.33421,
187,187,2007.000,28.03838,
188,188,2007.083,16.76387,
189,189,2007.167,19.79275,
190,190,2007.250,16.42731,
191,191,2007.333,21.00074,
192,192,2007.417,20.68100,
193,193,2007.500,21.83489,
194,194,2007.583,23.93020,
195,195,2007.667,22.93036,
196,196,2007.750,23.26334,
197,197,2007.833,25.25003,
198,198,2007.917,25.80609,
199,199,2008.000,29.66536,
200,200,2008.083,21.65429,
201,201,2008.167,18.26495,
202,202,2008.250,23.10768,
203,203,2008.333,22.91251,
204,204,2008.417,19.43174,
